DATA_MEDICAO,INSOLACAO_TOTAL_H,NEBULOSIDADE_MEDIA_DECIMOS,PRECIPITACAO_TOTAL_MM,TEMP_MAX_MEDIA_C,TEMP_MEDIA_COMP_C,TEMP_MIN_MEDIA_C,UMIDADE_MEDIA_PCT
2022-06-30,119.0,6.5,229.8,15.2,11.0,7.9,83.4
2022-07-31,142.1,6.2,157.2,21.2,16.0,12.2,75.6
2022-08-31,189.5,5.4,131.6,19.6,13.4,8.9,76.5
2022-09-30,171.3,6.1,93.0,19.3,13.5,9.3,75.8
2022-10-31,167.2,6.8,92.4,21.4,15.9,12.1,78.4
2022-11-30,245.8,4.8,93.8,23.5,17.9,13.0,69.5
2022-12-31,229.2,5.3,79.0,27.1,21.0,16.6,71.8
2023-01-31,245.8,5.2,82.8,29.1,22.7,18.3,69.8
2023-02-28,,4.9,163.9,26.7,21.3,17.9,
2023-03-31,217.3,5.8,119.2,27.5,22.0,18.7,77.3
2023-04-30,188.2,5.6,45.1,22.2,17.1,13.7,78.2
2023-05-31,165.2,5.7,114.7,20.7,16.0,12.9,78.2
2023-06-30,166.7,5.6,223.3,18.4,14.0,10.8,79.2
2023-07-31,167.5,6.3,224.9,18.2,13.3,10.0,81.6
2023-08-31,230.7,4.2,81.1,21.1,15.1,10.7,72.2
2023-09-30,84.5,6.9,437.2,21.2,15.8,12.8,
2023-10-31,117.5,7.8,279.1,21.4,16.7,12.9,84.1
2023-11-30,157.2,6.7,478.7,24.2,19.4,15.5,79.4
2023-12-31,171.5,6.8,141.5,27.2,21.6,17.5,78.1
