PAIS,COD_PAIS,ANO_2010,ANO_2011,ANO_2012,ANO_2013,ANO_2014,ANO_2015,ANO_2016,ANO_2017,ANO_2018,ANO_2019,ANO_2020,ANO_2021,ANO_2022,ANO_2023
Peru,PER,147527631520.0,171761737046.0,192650021648.0,201175543571.0,200786250582.0,189802976285.0,191898104390.0,211007984080.0,222597009739.0,228346006003.0,201409694755.0,226354278280.0,246488757636.0,267603248655.0
Filipinas,PHL,208368893151.0,234216730295.0,261920540972.0,283902828581.0,297483555344.0,306445871246.0,318627003012.0,328480736798.0,346841896583.0,376823402244.0,361751145451.0,394087359848.0,404353369604.0,437146372729.0
Palau,PLW,188174300.0,198873900.0,215762400.0,225345718.0,243156484.0,278824781.0,298323500.0,285600000.0,288546281.0,281941562.0,258990843.0,235752906.0,255591062.0,281849062.0
Polônia,POL,478111630683.0,527848543023.0,498148649702.0,518179836405.0,542134167178.0,480054118583.0,473259583969.0,528356676667.0,594616687350.0,602683770144.0,605914237903.0,689170230665.0,695607470875.0,809200697797.0
Portugal,PRT,238443864993.0,245426767676.0,216536676771.0,226677408291.0,230078616299.0,199038523119.0,206305431241.0,220862990767.0,242092894542.0,240115970063.0,229618773422.0,256055879091.0,256898675068.0,289114289663.0
Paraguai,PRY,27260886405.0,33756238766.0,33271921136.0,38501122141.0,40377929295.0,36211447840.0,36089700222.0,38997129473.0,40225448340.0,37925338329.0,35432178068.0,39950899938.0,41952910858.0,42956263543.0
Catar,QAT,125122306346.0,167775268626.0,186833502362.0,198727642967.0,206224598571.0,161739955576.0,151732181868.0,161099122225.0,183334953818.0,176371267689.0,144411363345.0,179732009554.0,235709325708.0,213002809330.0
Rússia,RUS,1524916715223.0,2045922753398.0,2208293553878.0,2292470078346.0,2059241589895.0,1363482182197.0,1276786350881.0,1574199360089.0,1657328773461.0,1693115002708.0,1493075894362.0,1843392293734.0,2266029240645.0,2021421476035.0
Arábia Saudita,SAU,528207200000.0,676634666666.0,741849866666.0,753864533333.0,766605866666.0,669484266666.0,666000000000.0,714994666666.0,846583733333.0,838564800000.0,734271200000.0,874156000000.0,1108571466666.0,1067582933333.0
Singapura,SGP,239807980591.0,279356499090.0,295092888076.0,307576360584.0,314863580758.0,307998545269.0,319053943915.0,343257164581.0,376892697588.0,376901649222.0,349488382610.0,434111559282.0,498474540987.0,501427500080.0
Serra Leoa,SLE,4033122830.0,4587078913.0,5927684219.0,7697098118.0,7845456215.0,6651626733.0,6042615859.0,5818480351.0,6390514688.0,6523577590.0,6688594757.0,7165214367.0,7119137321.0,6411869546.0
El Salvador,SLV,18447920000.0,20283780000.0,21386150000.0,21990960000.0,22593470000.0,23438240000.0,24191430000.0,24979190000.0,26020850000.0,26881140000.0,24921190000.0,29043140000.0,31988920000.0,34015620000.0
São Tomé e Príncipe,STP,190021192.0,226455001.0,229371348.0,267041747.0,293119143.0,259999643.0,292267272.0,322002845.0,383717327.0,412976082.0,471229484.0,524402455.0,540809499.0,678976264.0
Suriname,SUR,4368370997.0,4422276621.0,4980000000.0,5145757575.0,5240606060.0,5126237646.0,3317421648.0,3591679430.0,3996198866.0,4016040575.0,2911807496.0,3107923197.0,3791603200.0,3455146280.0
Eslováquia,SVK,91112160800.0,99705104723.0,94724394278.0,99134277850.0,101713075598.0,89178548717.0,90347173228.0,95978130734.0,106611673364.0,105843498304.0,107732602896.0,120592216208.0,115928615553.0,132908336234.0
Suécia,SWE,492753255885.0,570541353128.0,549742183874.0,584128116410.0,577730245154.0,501698263620.0,514218206628.0,536083940228.0,551312498430.0,532169294165.0,545147614972.0,637186904843.0,579895717343.0,584960475767.0
Essuatíni,SWZ,4438765085.0,4820478680.0,4886551483.0,4418333192.0,4250545460.0,3878174403.0,3705918654.0,4437538381.0,4659474399.0,4594818143.0,4105756862.0,4737671576.0,4695372785.0,4442875788.0
Togo,TGO,4746389531.0,5422442166.0,5413544658.0,6021732977.0,6393318261.0,5755461035.0,6071170959.0,6387422517.0,7029300383.0,6992700101.0,7400284167.0,8342243645.0,8169476148.0,9171261837.0
Tailândia,THA,341104766329.0,370818739623.0,397558325278.0,420333654592.0,407339040197.0,401296238228.0,413366349747.0,456356813536.0,506754208404.0,543976691793.0,500461898480.0,506256494297.0,495645210972.0,514968699239.0
Trindade e Tobago,TTO,22157920592.0,25433007437.0,27334568806.0,28709859468.0,29697674913.0,27026750552.0,23722678429.0,24040211327.0,24569257295.0,23775659262.0,20807716174.0,24496397204.0,30053446092.0,27372285697.0
Turquia,TUR,776967266305.0,838785289694.0,880555885492.0,957799120008.0,938934609296.0,864313810469.0,869682881593.0,858988492853.0,778972108040.0,761005915750.0,720338490327.0,819865223976.0,907118434653.0,1118252964260.0
Tuvalu,TUV,32105408.0,39196957.0,39345579.0,38615890.0,38760982.0,36811936.0,41629064.0,45276595.0,48015259.0,54123198.0,51746594.0,60196405.0,59065982.0,62280311.0
Uruguai,URY,41950361211.0,50342406067.0,54232266358.0,61337621933.0,61496186973.0,57680327998.0,57480788390.0,65006039994.0,65344576348.0,62222325807.0,53668636567.0,60760798595.0,70164683290.0,77240830877.0
Estados Unidos,USA,15048971000000.0,15599732000000.0,16253970000000.0,16880683000000.0,17608138000000.0,18295019000000.0,18804913000000.0,19612102000000.0,20656516000000.0,21539982000000.0,21354105000000.0,23681171000000.0,26006893000000.0,27720709000000.0
São Vicente e Granadinas,VCT,720447888.0,713796370.0,730032592.0,764781259.0,770900000.0,786555555.0,814303703.0,844040740.0,884329629.0,910766666.0,869111111.0,872225925.0,966492592.0,1065962962.0
Venezuela,VEN,393192354510.0,316482190800.0,381286237847.0,371005379786.0,482359318767.0,,,,,,,,,
Vietnã,VNM,147201173196.0,172595049183.0,195590661129.0,213708811665.0,233451469642.0,239258328381.0,257096001177.0,281353605986.0,310106478394.0,334365270496.0,346615738537.0,366474752771.0,410324028883.0,429716969043.0
Vanuatu,VUT,670712979.0,770153588.0,747839697.0,758304466.0,772315983.0,730870802.0,780889605.0,880061833.0,914736985.0,936526267.0,909421043.0,950394006.0,1022219297.0,1126313359.0
África do Sul,ZAF,417363822801.0,458199494830.0,434400545085.0,400886013595.0,381198869776.0,346709790458.0,323585509674.0,381448814653.0,405260723892.0,389330032224.0,337974655408.0,420886877628.0,406920004594.0,380699271814.0
